Index,LCSC#,Package,ESP32 ,,MINIMUM ORDER Quantity ,quantity needed,Unit Price($),Extended Price($),Product Link
1,C2930265,805,2Ω ±5% 125mW 0805 Thick Film Resistor,,100,1,0.0017,0.17,https://www.lcsc.com/product-detail/C2930265.html
2,C2907241,805,20Ω ±1% 125mW 0805 Thick Film Resistor,,100,1,0.0021,0.21,https://www.lcsc.com/product-detail/C2907241.html
3,C2907233,805,1Ω ±1% 125mW 0805 Thick Film Resistor,,100,1,0.0028,0.28,https://www.lcsc.com/product-detail/C2907233.html
4,C915305,"SMD,7.3x7.3mm","1uH ±30% 22mΩ 7A Magnetic Shielded Inductor SMD,7.3x7.3mm Fixed Inductors RoHS",,10,1,0.1604,1.6,https://www.lcsc.com/product-detail/C915305.html
5,C72443,"SMD,4.6x2.8mm",Tactile Switch SPST 200gf 1.9mm Gull Wing 4.6mm x 2.8mm Surface Mount,,6,2,0.6234,3.74,https://www.lcsc.com/product-detail/C72443.html
6,C4987080,805,220uF ±20% 4V Tantalum Capacitors 3Ω 0805,,1,1,3.4693,3.47,https://www.lcsc.com/product-detail/C4987080.html
7,C181692,ESOP-8,Lithium Battery I2C 2.1A ESOP-8 Battery Management RoHS,,5,1,0.2815,1.41,https://www.lcsc.com/product-detail/C181692.html
8,,PCB,PCB manufacturing from lion circuits,,1,1,10.2,10.2,order.lioncircuits.com
9,,ESP32 camera,ESP32 camera module Ai thinker ,,NA ,NA,NA,NA,SELF-SOURCED
,,,,,,,Total cost($),21.08,
