Designator,Mid X,Mid Y,Rotation,Layer
C1,141.45,-72.5,180.0,top
C2,136.0,-69.0,0.0,top
C3,136.0,-71.5,0.0,top
C4,136.0,-66.5,0.0,top
C5,152.55,-63.5,0.0,top
C6,135.9,-74.5,180.0,top
C7,136.0,-77.0,0.0,top
C8,150.0,-70.95,90.0,top
C9,150.0,-75.95,270.0,top
D1,135.8875,-85.0,0.0,top
D2,143.975,-63.5,0.0,top
D3,150.0,-66.975,90.0,top
IO0,150.55,-99.2,0.0,top
J1,154.757,-75.859534,0.0,top
J2,131.5,-75.65,180.0,top
J3,149.0,-56.7375,180.0,top
J4,136.0,-61.0325,0.0,top
KEY,135.45,-98.8,0.0,top
L1,143.5,-78.5,0.0,top
R1,150.0,-83.9125,90.0,top
R2,145.0,-72.5,0.0,top
R3,140.0,-85.0,180.0,top
R4,144.0,-85.0,0.0,top
R5,135.8625,-79.5,180.0,top
U1,142.655,-68.095,180.0,top
